idx,transcript,annotated,donated
734,"Persuader: Hi, do you usually donate to charities
	Persuadee: I DO
Persuader: great! You're such a nice person. What charities do you usually donate to?
	Persuadee: To church, I return tithes and I also do the offerings
Persuader: great! Well, have you ever heard about Save the Children charity?
	Persuadee: no, can you tell me more about it?
Persuader: it's an international non-governemntal organization that promotes children's rights, provides relief and helps support children in developing countries
	Persuadee: nice! I have a child so i'm all about helping kids
Persuader: would you donate to this charity? your donation will make such a huge impact for some children
	Persuadee: I would like to know more before i donate. How do i know if it's a legit organization
Persuader: it is a trustable fund! It's one of the top rated charities in the world!
	Persuadee: interesting. So if i donate will 100% of my donation go to a child?
Persuader: 86% goes to help children, 9% goes to fundraising and 5% goes to management and other things. 
	Persuadee: i just don't know why i've never heard about it
Persuader: neither do i! It's such a well known charity! It just so sad to see children from developing countries die from easily preventable deseases
	Persuadee: it is sad, i agree with you 
Persuader: million of Syrian children have grown up facing the daily threat of violence. You said you have a kid. Imagine your precious child going through it every day. waking up every day being afraid of getting killed
	Persuadee: that breaks my heart. I would do anything to protect my son
Persuader: And you can also protect those children if you donate to our fund! YOU can make a difference
	Persuadee: okay, I might donate
Persuader: Great! How much would you like to donate? You're awesome",False,0.1
735,"Persuader: Hi!  How are you this evening?  
	Persuadee: Great! Yourself?
Persuader: Great- thanks!  I was wondering if you might have a few minutes to talk about a charity which does some great work for underpriviledged children?  It's called Save the Children.
	Persuadee: I absolutely have the time
Persuader: Thanks!  This is an international non-governmental organization which travels to a variety of countries to help kids who don't have homes, education, adequate food and drinking water.  
	Persuadee: How can I help?
Persuader: The organization is looking for donations to set up a system of permanent self-sustainment.  Funds would be used to create a simple drinking water filtration system and to fund schools to teach life skills, such as crop growth and crafting skills to start a small business.  Would you be interested in helping their efforts?
	Persuadee: I could help a bit
Persuader: Every bit is really appreciated!  Just so you know, the Save the Children organization has been recognized with numerous humanitarian awards from a variety of organizations and countries.  
	Persuadee: Wow, that is a great accomplishment
Persuader: I'd also be happy to put you in touch with a sponsored child if you'd be interested?  You would be able to monitoring his or her growth and development of the area in which he or she lives.
	Persuadee: That would be great. What is the typical donation?
Persuader: Donations typically run anywhere up to $2.  This small amount of money can accomplish a surprising amount within an underdeveloped country. 
	Persuadee: I can definitely afford $2. How will i recieve information regarding the sponsored child?
Persuader: That's very kind of you!  You can find more information on the sponsorship at their website-  URL 
	Persuadee: Okay great, thank you for the information!
Persuader: It's my pleasure :)  Keep in mind also that your donation is tax deductible!
	Persuadee: I wasn't aware, I will keep that in mind! Thanks!
Persuader: The organization is very lucky that generosity such as yours exists.  Without it, many children's lives would be even worse.  Have an amazing evening!!
	Persuadee: I am happy to help. You have a great evening!",False,0.0
736,"Persuader: Hello my name is Steven.
	Persuadee: Hi my name is Donna   what's yours?
Persuader: My name is Steven.  Do you actively donate to charity?  Have you ever heard of Save the Children?
	Persuadee: Sorry Steven  I saw your name after I asked.Yes I often monthly really donate to a charity in the Gobi .I have heard and at one point did activly donated to Save The Children.Thank you for asking
Persuader: Save the Children is a wonderful organization.  They promote children's rights and provide relief to support children in developing countries.  Many children around the world benefit from their work.
	Persuadee: Yes I agree do you donate to Save The Children? I would love to see the children taken from the trafficking aspect and returned to the families.
Persuader: I do donate to Save the Children and I agree with you that human trafficking is something we need to tackle.  It makes me sad that people including children are subjected to such horrors.  Why our world has to have such evil is beyond me.
	Persuadee: It is called sin and we CAN do a lot about it by making Save the Children fully accountable for the finances we send ,accountability is very necessary to know where the money is going and if it is being used directly foe the child or administrative fees.
Persuader: I agree and Save the Children provides proof on how they spend their money.  You can view that information on their website.  You can also view reports created by independent resources proving they allocate funds as they say.
	Persuadee: This is good I also donated to Feed The Children and withdrew my donations when I checked with the accounting agency responsiable for the allocations of the fumds and only a small 10 cents ever went to the child the rest was what they called operating and administrative fees---I was quite angry as we had donated quite a lot.
Persuader: Wow, that makes me angry when organizations conduct themselves that way.  I understand the need for costs and needing to use some of the money for that.  I like that Save the children specifically states that they use x amount of every dollar.  The financial audits back up their claim.  So I can rest assured that the value of my dollar is going to the children as they promise.
	Persuadee: So Steven are you going to donate today ?
Persuader: I plan to donate for sure.  I figure that half of my earnings would suffice.  It will help children and I will still benefit.  It seems like a proper thing to do.
	Persuadee: Sounds good to me I shall also donate 1/2 of my earnings as we are the voice of these precious children I pray they get clean drinking water good food medical treatment housing and all the needs met if we ALL pull together it can be a better world for these children.
Persuader: Looking at the Saving the Children foundation is appears they are doing extensive work in Africa.  What areas of the world do you think could benefit from this organization?
	Persuadee: Wow that's great what about right here in the USA?There are so many children in poverty here in West Virginia and the other impovished areas.I also see the need in the Gobi desert for good drinking water and medical care.
Persuader: I agree, I hurt for all children facing bad conditions but in the United States we face a lot too.  It would be nice if they also had a allocation schedule for regions of the world.  By that I mean splitting the funding to include our country and specifically spelling out how much goes to each.f
	Persuadee: Is Save The Children only internationaly?We need to have a movement to help the children of our country as well as others  Africa has had so much drought and many deaths due to the heat  I am sure they are also in dire straights.
Persuader: It appears they do spend money the US during disasters or other impacting scenarios.  That is good to know.
	Persuadee: Oh o.k. but it is a disaster in many ways when our own children have no food clean drinking water decent housing but I do understand   so that being said what else do we need to discuss concerning donations?May I add that I was blessed to provid e 2 drinking wells for the Gobi desert and it was and is such a blesing to see the use where they can draw water for the families as well as the livestock  giving is a form of love in many ways.",False,1.0
737,"Persuader: im so sad
	Persuadee: YES
Persuader: many kids dying
	Persuadee: WHAT HAPPENS TO THE KIDS
Persuader: so many things, do you know they are sad too?
	Persuadee: YOU NEED SOME HELP WITH ME
Persuader: yes i need many help from you, money?
	Persuadee: YOU HAVE SOME ORGANISATION OR SOME TRUST.
Persuader: you know it buddy, you know it
	Persuadee: SORRY I DO NOT KNOW THAT.
Persuader: do you know save teh children
	Persuadee: YES, I KNOW THAT
Persuader: will you give them one dollar
	Persuadee: YES, I GAVE 20 DOLLAR TO THE CHILD. 
Persuader: how much will you give tonight?
	Persuadee: 20 DOLLAR FOR THEM
Persuader: how much from your payment
	Persuadee: 20 DOLLAR FOR THE SAVE THE CHILD.
Persuader: ok i will give too
	Persuadee: OK , KEEP SAVE THE CHILH",False,0.0
738,"Persuader: Hello?
	Persuadee: Hello.
Persuader: Do you know about the charity ""Save the Children""?
	Persuadee: I've heard of it in a positive way.
Persuader: Save the Children essential to help ensuring children's rights to health, education, safety
	Persuadee: Does it help children both internationally and in the United States?
Persuader: Mostly international in places like South American and South Africa where its very poor and needed.
	Persuadee: That makes sense. Are you involved with the charity?
Persuader: Yea im donating and wanted to know if you would like to donate also?
	Persuadee: Have you donated in the past?
Persuader: yes a while ago when i was donating to random charities. You can donate part of your funds for this task from $0 to $2.00
	Persuadee: I'm willing to donate $1.00.
Persuader: That sounds like a great amount you are making a difference.
	Persuadee: What exactly will my donation provide?
Persuader: Your donation will help individual children and their families and  help ensuring children's rights to health, education.
	Persuadee: Sounds good. I think we have to make a total of ten comments. Is there anything else you can tell me?
Persuader: Yea let me make it clear, you want to donate $1 correct?
	Persuadee: Yes, $1 is the amount that I would like to donate.
Persuader: Ok thanks you have a nice day...
	Persuadee: You are welcome. I hope you have a nice day too.",False,0.0
739,"Persuader: Hello
	Persuadee: Hi! How are you? What would you like to discuss?
Persuader: First let's start out with how was your day today?
	Persuadee: My day has been going great! I love living in the USA! It's the best country in the world!
Persuader: We do have a lot of freedom dont we?  Some others are not so fortunate though :(
	Persuadee: I feel ya. I sometimes wonder what could be done to fix the world's many problems.
Persuader: You and me both.  We just need some smarter people in charge.  We also need more people to help others that are not so fortunate.  Wouldn't you agree?
	Persuadee: I think that the government needs to do more to help other. I don't know what someone like me could do. I'm barely making it myself.
Persuader: I am also not doing the greatest with finances at the present moment.  Mturk is actually putting food on the table for me and my children.  But today you and I could make a difference.
	Persuadee: How could I make a difference? I have so little, and need to keep every penny I earn. It's tough out there!
Persuader: I hear that, trust me I do.  Are you a believer in karma?
	Persuadee: I have seen much good karma, only bad. I want to believe, but I just don't know.
Persuader: I have personally noticed many things in the last 10 years where the universe is someway connected and of course there are things that are not known to man or maybe not even be discovered.  But yeah we can make a little difference today and hopefully something good will happen.  Would you be interested in donating some or all of the money you would be getting from this task today?
	Persuadee: I wasn't planning on making a donation. I was hoping to use it for my household needs. 
Persuader: We can find another way.  There will be opportunities tonight yet.  If you donate an amount today I will match that donation.  Is that cool?
	Persuadee: How much were thinking of donating? I can't say that I have much room to spare.
Persuader: Okay understandable, tell me what you think about what is happening in different parts of the world today.  For instance, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.
	Persuadee: I'd heard something about that. Many are suffering there. 
Persuader: Yes, it is tragic.  We have the opportunity today to help some of those children out through the Save the Children foundation.  Like I said I will match whatever you decide to donate, which could be up to $2.00 each.
	Persuadee: If I donate ten cents, will you donate just as much, or more?
Persuader: I will donate what you would be willing to donate. No pressure at all",False,0.0
740,"Persuader: Hi. How are you? I'm chatting to you from Tennessee.
	Persuadee: Howdy neighbor! I'm here in Alabama.
Persuader: That's a beautiful place. Many of my ancestors came from Alabama. How do you feel about children's charities? There are a lot of suffering children in the world.
	Persuadee: I feel that they're good. I work at a Children's hospital so I see children suffering everyday.
Persuader: I used to work at a Children's hospital too! In Chattanooga! Well I'm probably going to donate a portion of my earnings to the Save the Children charity They work globally and have are great reputation.
	Persuadee: What did you do there? 
Persuader: At the children's hospital? I was a respiratory therapist. So the researcher will handle the donation and make sure it gets to the right people. Would you care to donate something as well?
	Persuadee: I would like to donate too. I'm a biomedical equipment technician at my hospital.
Persuader: That's awesome. I'm glad you're donating. Even if it is a small amount. The charity helps feed, educate, clothe and provide healthcare for kids. They are working with those poor babies in Syria that have suffered so much. How much do you feel you want to donate?
	Persuadee: I'm thinking .75 would help.
Persuader: That sounds great to me. You can choose any amount between 0 to $2.00. Thank you for your compassion.
	Persuadee: No problem. I agree that the defenseless need help.
Persuader: I used to drive through Alabama delivering oxygen supplies to nursing homes. I would go to Huntsville, all the way to Gadsten. It's so beautiful. Sad that there are so many poverty stricken areas. Lots of needy kids there too, just like Tennessee. I love the south though.
	Persuadee: I used to live in Huntsville and my mom's from Gadsden. Now I live in South Alabama between Gulf Shores and Mobile.
Persuader: Oh lucky you! You're near the beach. I've been to Florida's beaches and South Carolina but not Alabama. I want to go. Heard it's very nice.
	Persuadee: They are pretty nice. I love it down here. Moving down here is one of the best decisions I've made.
Persuader: Are you really close to the water? We don't get to the ocean too much. It's about a 9 or 10 hour drive from here. How cool, that you have a great job and an awesome place to live!
	Persuadee: Where I'm at now I'm about 2 miles from the bay and about 45 mins from the Gulf. I just bought a house just north of here. I'll be an hour from the Gulf there.
Persuader: It sounds wonderful. I'm sure the beaches are covered with white sand like Florida. I think we're close to being done with our chat. It's been pleasant and thanks again for agreeing to donate.
	Persuadee: Yeah they are pretty white. Florida's beaches are slightly better though. It has been great chatting with you!
Persuader: Have a good night.",False,0.0
741,"Persuader: hi
	Persuadee: Hi. Do you know about Children Charity?
Persuader: Yes, I know that children's charity.
	Persuadee: Please Explain for me.
Persuader: They give money to help children in other countries and get them away from viloence.
	Persuadee: Oh thanku. Will you donate for any organisation.
Persuader: Yes I was donate Organisation. 
	Persuadee: How much amount will you donate?
Persuader: I was donate more than $100.
	Persuadee: Oh super You done a good job.
Persuader: Thank you very much. Do you donate any chambers?
	Persuadee: Yes I donate one year back.
Persuader: How much amount do you donate?
	Persuadee: I forgot approximately 30 dollars.
Persuader: Okay, That's a great job.
	Persuadee: Where are you from?
Persuader: I am in Illinois. Where are you from?
	Persuadee: Iam from Virginia.
Persuader: Do you like to save the children?
	Persuadee: Yes I like to save the children.",False,50.0
742,"Persuader: you want to help kids?
	Persuadee: Sometimes. What kind of kids?
Persuader: kids in poverty without families?
	Persuadee: I already donate time and money. Are these kids from the US?
Persuader: yes, and other places. Only 10 cents a day?
	Persuadee: I'm not sure, how will it help them?
Persuader: provide basic needs like
	Persuadee: Who is the organization?
Persuader: save the children...very well know 
	Persuadee: oh, save the children. 
Persuader: right. they provide shelter, school, food, clothing...interested in helping?
	Persuadee: what will my ten cents do?
Persuader: mostly for shelter and food and to a lesser degree education....
	Persuadee: So how do I donate?
Persuader: easy , contact save the children on the internet
	Persuadee: So, just get ahold of them?
Persuader: right, give them contact information. do you have a bank account?
	Persuadee: no, i do not have one
Persuader: Do you have a debit card?
	Persuadee: nope, only cash
Persuader: thanks for your help
	Persuadee: have a good night!",False,0.0
743,"Persuader: Hi have your head of the children saves?
	Persuadee: No, I have not. Please tell me about it
Persuader: It is an organization that promotes children rights, provides help and support in developing countries.
	Persuadee: What countries are helped through this organization? 
Persuader: Countries all over the world for example Africa. Children need our help to be healthy and taken care of and a dontation on your part would put is one step forward in completing this goal!
	Persuadee: Approximately how many children per year receive help?
Persuader: Millions. Millions. Just $1.00 could help tramendously. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. If we had more help by people like you. These things could be avoided.
	Persuadee: Are there different tiers of donations? 
Persuader: All of the dontations go toward one cause. Some people donate 100$ and some only donate $1.00. I'm asking you, instead of buying that purse or clothing item, spend it on helping children in need.
	Persuadee: How do I donate?
Persuader: The research team will collect all the donations, you just have to say how much you want to donate
	Persuadee: How am I charged for donations?
Persuader: The amount of the donation will be taken out of your task payment
	Persuadee: I see  thank you for your information. 
Persuader: Your welcome! Thank you
	Persuadee: I will donate 10 cents.
Persuader: Thank you. Our team will collect that and you will be helping children in need.
	Persuadee: Thank you for your time 
Persuader: No problem thank you
	Persuadee: Have a good evening",False,0.05
