idx,transcript,annotated,donated
509,"Persuader: Hello
	Persuadee: hi
Persuader: How are you?
	Persuadee: Good, thanks, how about you?
Persuader: I'm doing great, thanks.
	Persuadee: Let's talk about a children's charity.
Persuader: Okay, sounds good.
	Persuadee: Do you know of any children's charity?
Persuader: Yes, I know a really great children's charity called Save the Children.
	Persuadee: Sounds good. Tell me more please
Persuader: It is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
	Persuadee: That sounds excellent. Do you have their website link?
Persuader: Yes, I do! It's  URL 
	Persuadee: Awesome. I would really like to support them and donate to them.
Persuader: That's awesome! You're a good person!
	Persuadee: How can I send in a donation?
Persuader: How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.
	Persuadee: Oh, I didn't realize it would be deducted from my task payment. Can I get a receipt for tax purposes?
Persuader: Yes, donations to Save the Children are 100% tax deductible.
	Persuadee: That's good. I have decided on an amount for my donation. That will be $0.
Persuader: Is there a reason why you wouldn't like to donate? Maybe I can answer some more questions for you.",False,0.0
510,"Persuader: hello how are you
	Persuadee: I'm alright and you?
Persuader:  I thank you very much, with what you know about save the children
	Persuadee: I don't know much about that charity all all.
Persuader:  you've donated something to the kids lately
	Persuadee: I have not made a donation recently.
Persuader: The Save the Children Fund, commonly known as Save the Children, is an international non-governmental organisation that promotes children's rights, provides relief and helps support children in developing countries.
	Persuadee: That sounds like a decent organization.
Persuader:  the month that passed a full gift of 2 large clothes bags for these children, is a great pleasure when it helps
	Persuadee: Okay that sounds good but how much would a donation of that size be?
Persuader:  children are the most valuable thing we have all are the future and should grow well healthy and full of knowledge
	Persuadee: I suppose that is true.
Persuader:  tell me a bit about your life
	Persuadee: I make money as a musician so basically I don't make money.
Persuader: good, i take care of insurance and I like my job
	Persuadee: Alright that's cool so how does this charity take its donations.
Persuader: I posted every year a pack of any organization for kids
	Persuadee: Okay so are you trying to get me to donate?
Persuader:  I wish that in the future you also donate some
	Persuadee: Alright I will donate.",False,0.0
511,"Persuader: Hi there. How are you today?
	Persuadee: Hello, I am fine, how about you?
Persuader: Very well thanks. Do you currently give any money to charity on a regular basis?
	Persuadee: Yes, I try to help time to time
Persuader: Any charity in particular?
	Persuadee: No, anything that catches my eyes, or I find them on gofundme, what about you?
Persuader: I have a few payments set up monthly. I assume then you've heard of Save the Children and the great work they do with young people?
	Persuadee: Yes, I've heard of it. Can you please explain more about it?
Persuader: Firstly, they provide funds and support services to help protect vulnerable children all over the world. Once the children have a safe environment the next priority is to improve their lives via education and other resources. They really make a difference to the lives of children in poverty or destitution.
	Persuadee: I am interested in it. I already checked their website. Health and education both are important factors
Persuader: Absolutely. And the great thing for us is that even a very small donation goes a long way due to the number of people who can donate! We're asking people today to give a small part of the payment for this HIT to the charity. You'll get a box pop up at teh end of our chat which will give you the opportunity to donate something. Obviously the more the better, but I also appreciate that you aren't turking for free so you can judge it yourself.
	Persuadee: Actually I like these kind of HITs. I did few HITs before that asked me to donate my bonus or half of the reward. I happily did. I am sure there are people who need it more than me
Persuader: You're absolutely right-  sometimes we don't realise it, but what seems like a little bit of moeny to us can make a big difference to them. I worked in Africa earlier this year and the difference a few dollars can make to people over there is unbelievable.
	Persuadee: Yes, few dollars can save a child or can help a family to survive for a month. How long have you worked there?
Persuader: I'm back in the UK now - I was in South Africa (Durban) for three months from January to end of March for work.
	Persuadee: That is so nice of you. It is a big thing to do. Thinking about starving children makes me so sad. I wish I could do more
Persuader: We can all do something - donate a little bit or volunteer to try to help. There are lots of opportunities
	Persuadee: Yes you are right, I help as much as I can. at least I try. ""save the children"" sounds like an amazing organization. They work in 120 countries already
Persuader: They certainly do and tehy are well established so you cna be certain they are going to use the money in a good way.
	Persuadee: Yes It looks like a trustworthy organization with no doubt. I already read few of their reports on their website. I wish they can help even more countries
Persuader: Me too. When we click done that donation box will appear - it should be pretty self-explanatory. I hope you enjoy the rest of your day. Thanks again.
	Persuadee: Thank you, I will do it for sure, have a nice day",False,0.5
512,"Persuader: HI! HAVE YOU HEARD OF SAVE THE CHILDREN BEFORE?
	Persuadee: No I haven't. What is it?
Persuader: IT'S AN AMAZING GLOBAL CHARITY THAT HELPS CHILDREN IN DANGEROUS AREAS!
	Persuadee: That sounds really cool. Do they have a main country they focus on, like Haiti or somewhere in Africa?
Persuader: NO, AS A MATTER OF FACT THE CHARITY HAS TIES ACROSS THE WORLD, ALTHOUGH IT IS CURRENTLY HEAVILY INVESTED IN THE SYRIA REGION!
	Persuadee: What kind of things do they provide for the children? Do they provide shelter and basic needs?
Persuader: THE MAIN FOCUS IS USUALLY HEALTH SUCH AS MOBILE HOSPITALS OR EDUCATION, WITH DEPLOYED TEACHERS
	Persuadee: Do these teachers go all over the world, or are they specific to that country?
Persuader: ALL THE INSTRUCTORS IN THE SAVE THE CHILDREN ARE SENT IN GROUPS ON ROTATING DEPLOYMENTS OF 6 MONTHS, USUALLY TO A FEW TARGET COUNTRIES.
	Persuadee: Are the instructors volunteers? What is the process of becoming one of the instructors?
Persuader: ALL INSTRUCTORS MUST SPEAK TWO LANGUAGES AND HAVE TWO YEARS OF FORMAL TEACHING.  THEY CAN THEN APPLY TO A SPECIFIC MISSION AS THEY COME UP, USUALLY 6 MONTHS AHEAD OF THE START DATE.
	Persuadee: I imagine it's pretty hard to go overseas for so long in a different country. What kind of experience have the prior instructors had? 
Persuader: MANY HAVE LOVED IT ALTHOUGH IT CAN BE CHALLENGING, THE INSTRUCTORS ARE PAID VERY LITTLE BUT GIVEN FREE ROOM/BOARD.  HOWEVER AFTER ONE YEAR OF WORK THEY CAN APPLY THRU A SPECIAL PROGRAM TO BE CITIZENS OF THE HOST COUNTRY.
	Persuadee: That's a really cool deal. Do they get dual citizenship or is it more of an ex-pat type situation?
Persuader: THEY CAN BECOME A DUAL CITIZEN AFTER 1 YEAR IN THE PROGRAM. IN SOME CASES OUR INSTRUCTORS HAVE FOUND FULL TIME JOBS WITHIN THE HOST COUNTRY AFTER THEIR TENURE.
	Persuadee: What are some of the improvements in quality of life for the children?
Persuader: MANY OF OUR CHILDREN PUT ON GLASSES FOR THE FIRST TIME BECAUSE THEY HAVE NEVER VISITED AN EYE DOCTOR.  JUST A 2 DOLLAR DONATION CAN GET ONE OF OUR SPONSOR CHILDREN ACCESS TO A COMPREHENSIVE MEDICAL SCREENING.
	Persuadee: Do they often get a chance to get a more thorough education than prior to becoming a part of the program?
Persuader: IT DEPENDS ON THE HOST COUNTRY AND ITS RULES, FOR EXAMPLE FEW GIRLS IN SYRIA HAD EVEN BASIC READING SKILLS DUE TO DISCRIMINATORY SCHOOL POLICIES.  WOULD YOU BE INTERESTED IN DONATING TO OUR EDUCATION FUND?
	Persuadee: I can't do much but I'd be willing to donate $0.20
Persuader: GREAT SAVE THE CHILDREN APPRECIATES ALL DONATIONS!
	Persuadee: Best of luck! ",False,0.2
513,"Persuader: Hello!
	Persuadee: Hi, what's happening?
Persuader: May I interest you in some ""Good Deed"" duties today?
	Persuadee: Yep, sure can
Persuader: Have you ever donated/ever thought about donating to a charity(s)?
	Persuadee: I do donate on occasion. So what is your charity about?
Persuader: Glad you asked. It\'s called ""Save The Children""
	Persuadee: Okay, and I bet it's about helping out kids.
Persuader: Ah-ha! Correct. :) Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
	Persuadee: Very good cause. Would a buck help?
Persuader: Any amount is lovely. 1$, 5$, 20$, 100$! It's all going to an amazing cause, every dollar helps. <3
	Persuadee: You've got it...giving you $1 and thanks for your good work!
Persuader: Thank you so much. I can assure you that your donation will be going to a trustable fund. You are amazing. I just want to help these children any way I can. It makes me cry that not everyone is treated fairly... They are our future!
	Persuadee: Goodbye for now... I'll look up your charity on the web.
Persuader: There is  lack of support for children in developing countries, especially in war zones. For instance, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. Thank you for looking into this.
	Persuadee: You're welcome, God bless and bye for now.
Persuader:  URL Here's the link to save you your troubles. 
	Persuadee: I copied the link, thanks!
Persuader: Thank you so much. God bless!
	Persuadee: Bye for now",False,1.0
514,"Persuader: How much would you like to the Save the Children foundation?
	Persuadee: tell me more
Persuader: Well Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
	Persuadee: ok cool is there a website?
Persuader: Yes it is  URL 
	Persuadee: ok will check it out
Persuader: So how much would you say that you would donate?
	Persuadee: what would you suggest?
Persuader: I suggest that you do $25 it would really help out a child
	Persuadee: ok $25 sounds ok 
Persuader: What you are doing is really good. Do you have questions?
	Persuadee: anything else i should know
Persuader: Your donation will be directly deducted from your task payment. 
	Persuadee: ok cool, weve got a few more, any other charities
Persuader: No that is the only one
	Persuadee: ok so i will donate $25 to Breed the children right?
Persuader: No it is Save the Children
	Persuadee: ok got it. we have to chat so ask a question
Persuader: Would you donate againn in future?
	Persuadee: no this one time is good, thanks",False,0.0
515,"Persuader: Hi, are you interest in making a donation called, Save the Children?
	Persuadee: I don't know, what's it about?
Persuader: Save the children is a charity for homeless children and food for these children.
	Persuadee: That seems like a good cause.
Persuader: Have you ever heard of Save the Children from friends or family.
	Persuadee: The name sounds familiar, but I'm not sure where I heard of it.
Persuader: You can donate any amount you like as much as $2.00.
	Persuadee: Is it international? Does it help children all around the world?
Persuader: Yes, you can donate to any child around the world, one child or a group of children.
	Persuadee: Do you know what percentage of donations goes to overhead and what percentage directly goes to the child/children?
Persuader: As far as i understand the entire amount goes to that cause.
	Persuadee: But there has to be some overhead. Is it paid for by grants rather than donations?
Persuader: no your donation will be directly deducted from your task payment any amount from $0.00 to $2.00. 
	Persuadee: Yes, I understand that, thanks. 
Persuader: I have been donating a little more than two years.
	Persuadee: That's a good testimonial. But I don't have much money right now. 
Persuader: How does .25 sounds to you? less than a newspaper or a cup of coffee?
	Persuadee: I disagree with your coffee price estimate. How about I donate 1 penny.
Persuader: That sounds good. Thank you very much, every little is a help.
	Persuadee: You're welcome, and thank you for your time.",False,0.01
516,"Persuader: Hello?
	Persuadee: Hello there
Persuader: How are you today?
	Persuadee: I'm good, how are you? 
Persuader: I'm doing well, thank you! Have you ever heard of the charity Save the Children?
	Persuadee: I have not. What do they do?
Persuader: Save the Children is a great charity that provides education, healthcare, and advocacy to children in need in the U.S. and all over the world. Does this sound like a good charity to you?
	Persuadee: It does. Children are one of the worlds most important assets. 
Persuader: I think so too! Do you believe that children in need deserve help from others?
	Persuadee: Yes. Children are more deserving in my opinion, because they are unable to care for themselves. They have no choice but to rely on others. 
Persuader: That's great that you care so much about children's needs! Save the Children is an exceptional charity in that over 86% of the donations go directly to children's programs all over the world. Have you donated to a charity before?
	Persuadee: Yes, I usually donate to soldiers or veteran related charities such as Wounded Warrior Project.
Persuader: Those are great causes also. You mentioned earlier that you believe children to be one of the world's most important assets. Would you be willing to donate your earnings from this task to Save the Children?
	Persuadee: I would if I had a specific break down or list of what programs the donations support. 
Persuader: Save the Children make the programs they support and the percentage of funding for each one available on their website. They are very transparent! Some of the causes they support include Emergencies (38%), Health and Nutrition (36%), and Education to more than 136 thousand children all over the world. The researchers curating this task collect the earnings from those who donate and send them directly to Save the Children. How much of your earnings would you be willing to donate?
	Persuadee: I don't make a lot. I would have donate a smaller amount. Like a one time donation of 100$ or so. 
Persuader: That's great! And any amount will go directly to benefiting children. However in this case I'm only asking about your earnings from this particular task :) . The full amount would be 30 cents.
	Persuadee: I guess so 
Persuader: Great! Thank you for your donation and for supporting children in need. Hope you have a great day!
	Persuadee: And you too. ",False,0.3
517,"Persuader: hello how are you
	Persuadee: fine. you know about save the childrends charity
Persuader: yes very much information 
	Persuadee: you donate the charity
Persuader: yes 100$ the year that went
	Persuadee: oh great. tell about your family
Persuader: my family is the motive of my life, I am my husband and two wonderful boys
	Persuadee: i have two children. one girl and boy
Persuader: very good for you, what do you know to save thechildren
	Persuadee: yes i know. what do you
Persuader: you donate in this organisation
	Persuadee: yes i donate 
Persuader: how much 
	Persuadee: i donate $50
Persuader: very good for this organisation
	Persuadee: then tell what r u doing
Persuader:  I work in insurance
	Persuadee: what type  of insurance company
Persuader: every type of insurance is you
	Persuadee: i am seeking job",False,10.0
518,"Persuader: Hi, how are you doing today?
	Persuadee: Good how are you?
Persuader: I'm doing pretty good too. Having any issue completing this task?
	Persuadee: Yes I am
Persuader: What issue did you run into?
	Persuadee: What is the donation?
Persuader: It's whatever you wish to donate
	Persuadee: I wish to donate $1
Persuader: That's great. The money you donate will go to Save the children. We still have 5 turns left so i'll ask a few questions.
	Persuadee: Okay that's great
Persuader: Did you ever donate to Save the children before?
	Persuadee: No I have never donated to Save the children before
Persuader: Ok. Have you ever got the chance to donate to a charity before?
	Persuadee: Yes I have donated to a charity before. Have you?
Persuader: I have donated through this task yesterday but it was only 0.1$
	Persuadee: That's good to hear
Persuader: Yes. Do you have any other question for me
	Persuadee: No, thanks for participating in this conversation
Persuader: YOu're welcome, same to you
	Persuadee: Are we done here?",False,0.0
